Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10NF,C_0805_2012Metric,112.805,154.63,180.0,top
C2,10NF,C_0805_2012Metric,182.755,154.63,180.0,top
C3,10NF,C_0805_2012Metric,116.93,154.63,0.0,top
C4,10NF,C_0805_2012Metric,186.805,154.63,0.0,top
D1,LED,LED_0805_2012Metric,22.88,177.08,60.5,top
D2,LED,LED_0805_2012Metric,25.23,181.28,60.5,top
D3,LED,LED_0805_2012Metric,40.168353,167.434042,60.5,top
D4,LED,LED_0805_2012Metric,42.55,171.62,60.5,top
D5,LED,LED_0805_2012Metric,57.778353,157.894042,60.5,top
D6,LED,LED_0805_2012Metric,60.023083,161.952138,60.5,top
D7,LED,LED_0805_2012Metric,74.92,148.38,60.5,top
D8,LED,LED_0805_2012Metric,77.170509,152.632733,60.5,top
D9,LED,LED_0805_2012Metric,76.507808,121.280377,6.1,top
D10,LED,LED_0805_2012Metric,81.45,121.81,6.1,top
D11,LED,LED_0805_2012Metric,78.730517,101.902737,6.1,top
D12,LED,LED_0805_2012Metric,83.61,102.42,6.1,top
D13,LED,LED_0805_2012Metric,80.8,82.01,6.1,top
D14,LED,LED_0805_2012Metric,85.92,82.56,6.1,top
D15,LED,LED_0805_2012Metric,82.98,62.78,6.1,top
D16,LED,LED_0805_2012Metric,87.97,63.25,6.1,top
D17,LED,LED_0805_2012Metric,208.797808,63.139623,173.9,top
D18,LED,LED_0805_2012Metric,213.7425,62.63,173.9,top
D19,LED,LED_0805_2012Metric,210.79,82.41,173.9,top
D20,LED,LED_0805_2012Metric,215.84,81.87,173.9,top
D21,LED,LED_0805_2012Metric,212.98,102.35,173.9,top
D22,LED,LED_0805_2012Metric,217.98,101.8,173.9,top
D23,LED,LED_0805_2012Metric,215.2,121.48,173.9,top
D24,LED,LED_0805_2012Metric,220.26,120.88,173.9,top
D25,LED,LED_0805_2012Metric,218.98,152.53,120.2,top
D26,LED,LED_0805_2012Metric,221.59,148.27,120.2,top
D27,LED,LED_0805_2012Metric,236.32,162.01,120.2,top
D28,LED,LED_0805_2012Metric,238.81,157.85,120.2,top
D29,LED,LED_0805_2012Metric,253.976922,171.542175,120.2,top
D30,LED,LED_0805_2012Metric,256.37,167.45,120.2,top
D31,LED,LED_0805_2012Metric,270.98,181.53,120.2,top
D32,LED,LED_0805_2012Metric,273.524422,177.022175,120.2,top
D33,LED,LED_0805_2012Metric,131.78,57.78,-55.0,top
D34,LED,LED_0805_2012Metric,136.23,71.88,20.0,top
D35,LED,LED_0805_2012Metric,124.705,79.8425,90.0,top
D36,LED,LED_0805_2012Metric,113.03,71.73,160.0,top
D37,LED,LED_0805_2012Metric,117.467272,57.73,-125.0,top
D38,LED,LED_0805_2012Metric,179.655,58.13,-55.0,top
D39,LED,LED_0805_2012Metric,183.73,72.18,20.0,top
D40,LED,LED_0805_2012Metric,172.055,79.8425,90.0,top
D41,LED,LED_0805_2012Metric,160.48,72.13,160.0,top
D42,LED,LED_0805_2012Metric,164.4675,58.027777,-125.0,top
D43,LED,LED_0805_2012Metric,166.655,136.73,160.0,top
D44,LED,LED_0805_2012Metric,171.167728,122.697955,-125.0,top
D45,LED,LED_0805_2012Metric,185.917728,122.962045,-55.0,top
D46,LED,LED_0805_2012Metric,190.205,136.68,20.0,top
D47,LED,LED_0805_2012Metric,178.53,145.0925,90.0,top
D48,LED,LED_0805_2012Metric,106.374038,136.534356,160.0,top
D49,LED,LED_0805_2012Metric,110.93,122.705,-125.0,top
D50,LED,LED_0805_2012Metric,125.955,122.98,-55.0,top
D51,LED,LED_0805_2012Metric,130.055,136.405,20.0,top
D52,LED,LED_0805_2012Metric,118.255,145.0425,90.0,top
